Country,Year,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y5T9,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y_GE85,Y_LE4
CHL,1971,0.12385745508375753,0.1021594217006827,0.08540339696219523,0.07353454610576661,0.06048756934954471,0.05393255611732092,0.04864469825888333,0.04122978558580983,0.0356714506402934,0.030412037031332214,0.13543529148886443,0.026165218166366615,0.019978953309123887,0.014488494352430208,0.009428395863446244,0.005175210415565351,0.0018763962840514634,0.13211912328456532
CHL,1972,0.12456322836278959,0.10451824026591125,0.08654752946508376,0.07400072574470845,0.06164630998181601,0.05368189266952422,0.048523452707739376,0.041682577029624815,0.03563991959273508,0.03043262560607001,0.13200569492579287,0.025920693969404662,0.020223648477122134,0.014532659268915667,0.00950119939659223,0.005304093593814112,0.0019137857680352355,0.12936172317432054
CHL,1973,0.12524031635860286,0.10690377252145516,0.08768412096293081,0.07445020887214598,0.06281091262305126,0.05341848934588793,0.04839019426881152,0.04212914115541019,0.03559922550916897,0.03044528260389939,0.1286295325394627,0.025672054603012907,0.020466105803609667,0.014573262360505851,0.009571962709391956,0.005434715184857631,0.0019516105004664154,0.12662909207732878
CHL,1974,0.12588859858683224,0.10931522098389947,0.08881290666935299,0.07488319100333037,0.06398105051860989,0.053142846767954166,0.048244707258586116,0.04256966322033028,0.035549409820018585,0.03044999161501457,0.12530721356684785,0.02541909797079448,0.02070613095687814,0.014610080607139322,0.009640976203626101,0.005567376530357454,0.001989554982760509,0.12392198273766748
CHL,1975,0.12650775903205339,0.11175266745086222,0.08993290163205057,0.07529938628967661,0.06515602908188141,0.05285512577810954,0.04808724372357866,0.04300360916254618,0.035490466492637866,0.030446973217407605,0.12203930408070741,0.02516224810022722,0.020943763883195004,0.014643406616148186,0.009707853066376497,0.005701599092461226,0.002027903187285315,0.1212417601127951
CHL,1976,0.1237478598797529,0.11279296186395399,0.09229967485410648,0.07653786492546291,0.06587050896552912,0.054095387297285455,0.04806959237080318,0.04309581520302428,0.03606021573604661,0.030577324441046355,0.12001426163165825,0.025334934911666003,0.02089241961339696,0.014931648186710389,0.009805297683166325,0.005783494839907317,0.002113500364538587,0.11797723723194488
CHL,1977,0.12100796820183624,0.1138049563335075,0.09469732029558857,0.07777095618422035,0.06657078077181458,0.05534625289243861,0.04803603418675823,0.04317365828170486,0.03662685675897589,0.030697824139732776,0.11798331716055833,0.025500298574307682,0.020834235276554453,0.015220385160856909,0.009900444129282674,0.005864745838620586,0.002201892214674927,0.11476207359856684
CHL,1978,0.11828930289460027,0.11478757963239587,0.09712468252609457,0.07899747106453105,0.06725593895963593,0.05660734415224727,0.047986847217209604,0.04323726187559632,0.037190135486505675,0.03080859604384298,0.11594813552532887,0.02565835902456634,0.020769488576183295,0.015509865829066998,0.009993292419329865,0.005944916512194209,0.002293328362983244,0.11159745389768763
CHL,1979,0.11559328581676924,0.11574053702324473,0.09958137289476365,0.08021679587362744,0.06792581115862929,0.057877889646153445,0.0479217846592187,0.043286683219649895,0.03774938461606856,0.030909507102216925,0.11391028527448922,0.025808699906123955,0.020698094108491022,0.0157996098886398,0.010083758990330323,0.00602450684681819,0.0023877740308207752,0.10848421894394483
CHL,1980,0.11292155580551688,0.11666277226958989,0.1020665242966974,0.08142803946207026,0.06857957183945515,0.05915739804636996,0.04784121384195501,0.04332186372987066,0.038304579676724175,0.031000593958944434,0.11187145572204762,0.025951450724809793,0.020620228450015942,0.01608960233567173,0.010171848959202619,0.006103180969186713,0.0024851951012392595,0.10542292481063252
CHL,1981,0.11087774377181657,0.11395597429631736,0.1029479198219894,0.08357851869047031,0.06967480776244385,0.05978473337451373,0.04895009785846953,0.04328722061611619,0.03837743940834029,0.03150133369742512,0.10873518335269551,0.026076577410481704,0.020790820379949494,0.016078842420530762,0.010386739242060558,0.006171074017060024,0.0025638716548297222,0.10626110222448987
CHL,1982,0.10883525068085693,0.11127544817289206,0.10380302003130777,0.08575761536414099,0.07076451466244887,0.06039880724553213,0.05006843864864698,0.043238691989009974,0.03843798257952079,0.031999821227145724,0.10565233166487331,0.026193601127100483,0.020955833663985162,0.016062966155197877,0.01060285861605039,0.006237821424107675,0.002644261854766631,0.10707073489241625
CHL,1983,0.1067957540091307,0.10862288308249309,0.10463114224464946,0.08796491884900927,0.07184784005963019,0.060999548886486135,0.05119558720283366,0.043176217622887515,0.038486069185059854,0.032495516995522625,0.10262346547242633,0.026302679777941675,0.021115300590607497,0.016041893203734524,0.010820075267420296,0.006303313996487247,0.002726116812826763,0.10785167674085319
CHL,1984,0.1047605141412336,0.10599912558731246,0.10543176434158487,0.09019994847510651,0.07292417197230411,0.06158634573539198,0.0523311657633027,0.04310006990266495,0.038521655140699045,0.032988351513900394,0.09964922792380694,0.02640373865969822,0.02126929141523106,0.016015850198505106,0.011038411220678434,0.006367688017609094,0.002809617196894744,0.1086030627940758
CHL,1985,0.10273112913431917,0.1034055534154442,0.1062044720229605,0.09246198245042585,0.07399298671461838,0.062158997218185755,0.05347477238387086,0.04301053678454796,0.038545058102783844,0.0334777867183202,0.09673005858286288,0.026496644321921003,0.021417556878623626,0.015984813968134982,0.011257481507041627,0.006430580158573162,0.0028949344142630905,0.10932465522310289
CHL,1986,0.09976552854798108,0.10146214030113762,0.10369181515943467,0.09326517876083693,0.07593259049265796,0.06314427183263215,0.054035842201954926,0.044008069500517596,0.038522942699937834,0.033566332624070924,0.09742276247654656,0.02694923828237423,0.02154692055386929,0.016155319293515213,0.011302788855295287,0.006613035073457736,0.0029406962830336144,0.10967452706074637
CHL,1987,0.09685575751076454,0.09952459192717485,0.10120753427084042,0.09404649172109181,0.07789895835028883,0.064125513093151,0.054585914158769795,0.04501495753706351,0.038489446741880436,0.03364480373598519,0.09809027694662618,0.027401192964515864,0.02167039607711342,0.016322673634616078,0.011344700614674503,0.0067987934391739065,0.002986400817310592,0.10999159645895909
CHL,1988,0.09400222809079352,0.09759420476753695,0.09875249193332922,0.09480532601869418,0.07989192771271467,0.06510207690003886,0.05512500888365309,0.04603097206226417,0.03844437154488649,0.033713169315603364,0.09873201834872461,0.027852311561833286,0.02178797304766329,0.01648672660641942,0.011383626811578855,0.006987689335552953,0.003032051592805661,0.1102758254659074
CHL,1989,0.09120493658557356,0.09567234164598416,0.09632787681431199,0.09554135803621473,0.08191104006694512,0.066073594275106,0.055652606164992756,0.047055514679961066,0.03838814871406957,0.033771555019210156,0.09934798241271192,0.0283024107618232,0.021899641870137387,0.01664741511020134,0.01141917887007583,0.007179722317832886,0.003077343430230863,0.11052733322461746
CHL,1990,0.08846432090613533,0.0937600303275371,0.09393455328421094,0.09625411513749906,0.08395593765797173,0.0670394274675763,0.056168468375909095,0.0480885866387349,0.03832061263324638,0.033819817339720774,0.09993776359605919,0.02875106364154138,0.022005371968365512,0.016804739618577803,0.011451513501020048,0.008103480276098352,0.002394151447379583,0.11074604618241655
CHL,1991,0.08917755239341947,0.09108315371542712,0.09227313941801563,0.09412688561549276,0.0849024102947323,0.0691648270266525,0.0572537943273772,0.048712450668715046,0.039382104468704764,0.033854467400933244,0.10027708219558769,0.028875034365195677,0.022460719370645678,0.016957147252907725,0.01163618563836564,0.007357765342150691,0.0033481572432146898,0.10915712326246219
CHL,1992,0.09313367006715119,0.0924172141029865,0.08888560013778783,0.08914963039403913,0.08155215431072525,0.07284570747369416,0.059472396644930335,0.04783926868787518,0.0402730219897093,0.03467895828089005,0.09615680558186314,0.032854696295321374,0.02483616948078126,0.01634578048785104,0.010909901986319928,0.006385208132568667,0.004154381773919343,0.10810943417158633
CHL,1993,0.09232382344161964,0.09134859751893813,0.08735762998390888,0.08827395974110334,0.08192628578855589,0.07343284253673094,0.06129371231129045,0.048841830550143205,0.04068535647871434,0.03458401466356891,0.09598176253725255,0.03245651607256294,0.025878702845630572,0.016814568647206665,0.011056357898384196,0.006528804738862857,0.004276492132919618,0.10693874211260689
CHL,1994,0.091566002703534,0.08992514088344751,0.08644047931454962,0.08703595677647918,0.08231052311484882,0.07391075571727868,0.06325221014293082,0.0497844278445233,0.04114693517509147,0.03476624493069733,0.09697074215092048,0.03184869467374729,0.026806505670654464,0.017430011287893066,0.011244638215512318,0.006670490687117767,0.004411571385215775,0.10447866932555809
CHL,1995,0.09073718145065147,0.0884000409143879,0.08609036669902594,0.08548117065492712,0.08259748510021626,0.07433012250883077,0.06496063033189954,0.05097471019380862,0.0417432449712817,0.035147642600444506,0.09828902899880254,0.031212448932634432,0.0275008102564666,0.018187015606224467,0.01148599819111678,0.006804207339710201,0.004562538344200841,0.10149535690537032
CHL,1996,0.0898782834109716,0.08718303878649679,0.08592262968113631,0.08381511430929436,0.08266296751026932,0.07477798856588234,0.06610308559914548,0.05268459323163807,0.042506016648534956,0.035622206923343634,0.09975298504684316,0.03072140063313223,0.027887931303418517,0.01907905458963958,0.01177913090805198,0.006939140745592013,0.004729808068551775,0.09795462403805787
CHL,1997,0.08927350648791905,0.08641313708058593,0.08561429822117818,0.08226978200067024,0.08244951905287165,0.07529825730147105,0.06705599096674181,0.054473112026986126,0.043475125596085046,0.03612335928212331,0.10023320493555105,0.030475611163477107,0.027968830605167957,0.020035776940974137,0.012144325944113344,0.007085982769325183,0.004909520624978945,0.09470065899977988
CHL,1998,0.08939139351733814,0.08593594427154028,0.08490388381944237,0.08113063608179502,0.08191441437530994,0.07589721145346032,0.0678284419700221,0.05634055070024517,0.04455255721942146,0.03663510763145098,0.09946111152142739,0.030520341440723003,0.02776085686860772,0.021001946056660954,0.012598416363169886,0.007258012709001424,0.005099200007906565,0.09176997399247727
CHL,1999,0.0905868633977853,0.08549425013386774,0.08384839740903012,0.08054303972477095,0.08102898013256914,0.07649894445802706,0.06849537139782988,0.05833698766939406,0.04557392905969146,0.03718875295938566,0.09746838106196314,0.03080280481532121,0.02736784983175105,0.021879387717724286,0.013166953704349187,0.0074580112994335375,0.0052947586697130716,0.08896633655739317
CHL,2000,0.09209072400599452,0.0849768818051575,0.08268559241979216,0.08047407713295018,0.07983660126885135,0.07700761881745849,0.0691070501923768,0.06011004393701861,0.046825896810117965,0.037865323333415454,0.09496637169802688,0.03125997583574774,0.026945852548528267,0.022569617565317977,0.013848431559102635,0.007694420362312578,0.0054937241117082435,0.08624179659612265
CHL,2001,0.0937191628711997,0.08440933401692224,0.08178505106523826,0.08055515804106031,0.07851502272963184,0.077294730190607,0.06973257623091267,0.06135541195778441,0.04855480804216533,0.03868885980965653,0.09190705519035411,0.031794938276290236,0.02664050867365174,0.023006499528448653,0.014636873891313101,0.007965567634483629,0.005700819630144209,0.08373762222013603
CHL,2002,0.09441474827999845,0.08406379907442794,0.0812851328227577,0.08049025405212602,0.077285693883665,0.07730876340302431,0.0704162665347753,0.06242095742201562,0.05035693708413129,0.039698118132635844,0.08908728250684868,0.032350794856465845,0.026541290839023762,0.023188881817210256,0.015478181747154117,0.008288075333579196,0.005921728944491104,0.08140309326566954
